customerID,gender,SeniorCitizen,Partner,Dependents,tenure,Contract,PaymentMethod,PaperlessBilling,InternetService,OnlineSecurity,TechSupport,MonthlyCharges,TotalCharges,Actual_Churn,Predicted_Churn,Churn_Probability,Risk_Segment
0258-NOKBL,1,0,0,0,-1.198760114,0,2,0,1,0,0,0.851014911,-0.888926759,0,0,0.46829742,Medium Risk
6303-KFWSL,0,0,0,0,-0.139417121,1,2,1,0,0,0,-0.317386674,-0.292551603,0,0,0.04527615,Low Risk
1194-BHJYC,1,0,1,0,1.16438964,2,3,1,0,2,2,-0.088027614,0.659817719,0,0,0.008246964,Low Risk
5049-GLYVG,1,0,0,0,-1.280248037,0,3,0,2,1,1,-1.469168036,-0.998275072,1,0,0.35292387,Medium Risk
1685-VAYJF,1,0,0,0,-0.872808424,0,1,0,0,0,0,-0.65145313,-0.790299301,0,1,0.551435,Medium Risk
2348-KCJLT,0,0,1,0,0.471742298,1,3,1,0,2,0,-0.109633903,0.193636984,0,0,0.04516579,Low Risk
6425-JWTDV,1,0,1,0,0.634718143,2,3,0,2,1,1,-1.514042635,-0.630104132,0,0,0.01232451,Low Risk
3022-BEXHZ,1,0,1,1,1.408853407,2,0,1,1,0,2,1.542416133,2.315131029,0,0,0.19194613,Low Risk
0670-ANMUU,1,0,0,0,1.571829252,1,1,0,1,2,2,1.092008125,1.943232055,0,0,0.021370118,Low Risk
6349-JDHQP,0,0,0,0,0.838437949,2,1,0,2,1,1,-1.494098369,-0.54429317,0,0,0.06615837,Low Risk
0961-ZWLVI,1,0,0,1,0.675462104,1,1,1,1,2,0,1.475935246,1.326716691,0,0,0.15943904,Low Risk
9289-LBQVU,1,0,1,0,1.286621523,1,3,1,0,0,2,0.177895933,0.969465141,0,0,0.017602963,Low Risk
4759-PXTAN,0,0,1,0,1.082901717,1,2,1,0,0,2,0.508638344,1.063217478,0,0,0.1003748,Low Risk
6695-AMZUF,0,0,1,0,1.531085291,2,1,0,0,2,2,0.719715159,1.617790121,0,0,0.008474346,Low Risk
9114-AAFQH,0,0,1,0,0.634718143,1,2,1,0,0,0,0.028313937,0.357957255,0,0,0.10294983,Low Risk
9992-UJOEL,1,0,0,0,-1.239504076,0,3,1,0,0,0,-0.481926868,-0.966443396,0,1,0.6042903,Medium Risk
1776-SPBWV,0,0,1,1,0.064302685,1,0,1,2,1,1,-1.485788258,-0.706429564,0,0,0.11153334,Low Risk
3692-JHONH,0,1,1,0,0.797693988,1,2,1,1,0,0,1.386186049,1.472926217,0,0,0.41732758,Medium Risk
7495-OOKFY,0,1,1,0,-0.995040308,0,1,1,1,0,0,0.526920588,-0.727959512,1,1,0.6854827,Medium Risk
5982-PSMKW,0,0,1,1,-0.383880889,2,1,1,0,2,2,0.874283221,-0.037501129,0,0,0.011990455,Low Risk
3298-QEICA,0,0,1,1,-0.383880889,2,3,0,0,2,2,-1.003801829,-0.64847959,0,0,0.011230176,Low Risk
8757-TFHHJ,1,0,0,0,-1.280248037,0,1,1,0,2,0,-0.49854709,-0.985392398,0,0,0.26572102,Low Risk
5022-JNQEQ,0,0,1,1,-0.954296347,0,2,1,1,0,2,0.36736646,-0.72169465,0,0,0.19480619,Low Risk
2418-TPEUN,0,0,1,1,0.960669833,2,1,1,2,1,1,-1.495760391,-0.513277691,0,0,0.01516543,Low Risk
4229-CZMLL,1,0,0,0,-1.076528231,0,2,1,1,0,0,0.335788039,-0.800093662,1,1,0.83153397,High Risk
0191-EQUUH,0,0,0,1,-0.302392966,2,0,0,0,2,2,-0.98884363,-0.634802779,0,0,0.010389422,Low Risk
3099-OONVS,1,0,1,1,-0.302392966,0,2,0,0,2,2,-0.348965095,-0.435231629,0,0,0.03753599,Low Risk
0491-KAPQG,1,0,0,0,-0.465368811,0,2,1,1,0,0,0.295899507,-0.319684632,0,1,0.7962036,High Risk
1090-ESELR,1,0,1,1,1.612573214,2,0,0,1,2,2,1.352945606,2.350756916,0,0,0.013134356,Low Risk
2208-NKVVH,1,0,1,1,0.430998337,2,3,0,2,1,1,-1.347840418,-0.531785506,0,0,0.017630229,Low Risk
9496-IVVRP,0,0,1,1,-0.872808424,0,0,0,0,2,0,-0.458658558,-0.750724785,0,0,0.11704782,Low Risk
5016-LIPDW,1,0,1,1,1.001413795,1,3,0,2,1,1,-1.509056568,-0.538998921,0,0,0.1189066,Low Risk
8204-TIFGJ,0,0,0,0,-0.383880889,0,0,1,2,1,1,-1.479140169,-0.799740712,0,0,0.04246716,Low Risk
7684-XSZIY,1,0,1,1,1.612573214,2,0,0,2,1,1,-1.346178396,-0.282382232,0,0,0.000218397,Low Risk
0440-QEXBZ,0,0,0,0,0.471742298,0,3,1,0,0,0,-0.486912935,-0.063619427,0,0,0.034131255,Low Risk
6285-FTQBF,1,0,1,1,1.612573214,2,1,0,2,1,1,-1.304627842,-0.183357705,0,0,0.000460851,Low Risk
3707-GNWHM,1,0,0,0,-1.280248037,0,3,1,1,0,0,0.31418175,-0.974605364,1,1,0.9468733,High Risk
0019-GFNTW,0,0,0,0,0.960669833,2,0,0,0,2,2,-0.656439196,0.122120496,0,0,0.000931201,Low Risk
8988-ECPJR,0,1,1,1,0.064302685,0,3,1,1,0,0,0.492018122,0.191916353,1,0,0.106763095,Low Risk
9397-TZSHA,0,0,0,0,1.49034133,2,1,0,2,1,1,-1.336206263,-0.267028908,0,0,0.002790952,Low Risk
1989-PRJHP,1,1,1,0,-0.220905044,0,2,1,1,0,0,0.355732305,-0.171776534,1,1,0.5952191,Medium Risk
3587-PMCOY,1,0,0,0,-0.913552385,1,2,1,1,2,0,1.133558679,-0.537520943,0,0,0.455417,Medium Risk
8292-FRFZQ,0,0,0,0,0.268022492,1,0,0,0,2,2,-0.786076925,-0.256947774,0,0,0.02995535,Low Risk
1775-KWJKQ,1,0,1,1,1.612573214,2,1,0,0,2,2,0.832732667,1.888105681,0,0,0.003261972,Low Risk
6137-MFAJN,0,0,0,0,0.634718143,0,2,1,0,2,0,-0.664749307,-0.078862454,0,0,0.3684488,Medium Risk
1395-WSWXR,1,0,0,0,-0.343136928,2,3,0,2,1,1,-1.46418197,-0.792483179,0,0,0.001452343,Low Risk
9046-JBFWA,1,0,0,1,-0.220905044,0,3,0,2,1,1,-1.517366679,-0.770291449,0,0,0.06771197,Low Risk
9871-ELEYA,0,0,0,1,0.064302685,2,1,0,0,2,2,0.094794824,0.024706304,0,0,0.010360155,Low Risk
6712-OAWRH,0,1,0,0,-0.261649005,0,2,1,1,0,0,0.879269288,0.030221147,1,1,0.83408564,High Risk
2361-UPSND,0,0,1,0,0.553230221,1,3,0,0,2,2,0.192854132,0.418135226,0,0,0.021086141,Low Risk
4817-KEQSP,0,0,1,1,1.571829252,2,0,0,2,1,1,-1.494098369,-0.422194539,0,0,0.000683416,Low Risk
2842-BCQGE,1,0,0,0,0.430998337,0,1,1,1,0,0,0.350746238,0.387406519,0,1,0.58916205,Medium Risk
4190-MFLUW,0,0,1,1,-0.913552385,0,1,0,0,0,2,-0.319048696,-0.774262136,1,0,0.34153712,Medium Risk
1640-PLFMP,0,0,0,0,-1.280248037,0,2,1,1,0,0,0.181219977,-0.976370114,0,1,0.9314451,High Risk
6635-CPNUN,1,0,1,0,-0.180161082,0,1,0,1,0,0,1.05710566,0.176938038,0,1,0.7343758,High Risk
6620-HVDUJ,1,0,0,0,-0.343136928,0,0,0,0,2,2,-0.144536368,-0.371722693,0,0,0.101295404,Low Risk
4706-AXVKM,0,1,0,0,-0.872808424,0,1,1,1,0,0,0.664868428,-0.607272681,1,1,0.87038594,High Risk
5495-GPSRW,1,0,0,0,-0.506112773,2,3,1,2,1,1,-1.499084435,-0.822329511,0,0,0.003838488,Low Risk
6847-KJLTS,0,1,1,0,1.042157756,0,0,1,1,0,2,1.183419344,1.529376153,0,0,0.44771641,Medium Risk
1023-BQXZE,1,0,0,0,1.001413795,2,0,1,0,2,0,0.317505795,0.897397169,0,0,0.004910448,Low Risk
4806-DXQCE,0,1,1,0,1.531085291,2,2,1,1,2,2,1.623855219,2.396243344,0,0,0.06542041,Low Risk
5360-XGYAZ,1,0,1,1,1.612573214,2,0,1,0,2,2,0.028313937,1.050555397,0,0,0.001532043,Low Risk
8631-WUXGY,0,0,0,1,0.553230221,0,2,1,1,0,0,1.163475078,0.930000923,0,1,0.69711584,Medium Risk
3780-YVMFA,0,0,1,1,-0.995040308,0,2,1,0,0,2,0.124711223,-0.758379388,0,0,0.11603733,Low Risk
7971-HLVXI,1,0,1,1,1.612573214,2,1,1,1,0,0,0.654896295,1.697490637,0,0,0.049128983,Low Risk
9842-EFSYY,0,0,0,1,-1.158016153,0,3,1,0,2,0,-0.252567809,-0.908647838,0,0,0.12096565,Low Risk
0277-BKSQP,1,0,1,1,-0.995040308,0,2,1,0,0,0,-0.345641051,-0.797755369,0,0,0.26703322,Low Risk
9154-QDGTH,1,0,1,1,0.430998337,1,1,1,1,0,2,1.313057074,0.956736883,0,0,0.3047678,Medium Risk
1208-NBVFH,1,0,1,1,-0.506112773,0,2,1,0,0,0,-0.505195179,-0.592735554,0,0,0.29587588,Low Risk
0866-QLSIR,0,0,0,0,0.064302685,1,3,1,0,2,2,-0.013236617,-0.085833216,1,0,0.030242523,Low Risk
9667-TKTVZ,0,0,0,0,-1.239504076,0,3,1,0,0,2,-0.347303073,-0.955722541,0,0,0.38605812,Medium Risk
0611-DFXKO,1,0,1,0,-0.506112773,0,3,1,1,0,0,0.80447829,-0.204203813,1,0,0.4136827,Medium Risk
8040-MNRTF,0,0,0,0,-1.280248037,0,3,0,1,0,0,0.209474354,-0.975995105,0,1,0.9105855,High Risk
8107-KNCIM,1,1,1,0,-0.75057654,0,2,1,1,0,0,0.342436127,-0.560286216,0,1,0.8652667,High Risk
8938-UMKPI,0,0,0,0,0.593974182,0,2,1,1,0,0,1.382862005,1.255023728,1,1,0.9181227,High Risk
0670-KDOMA,0,0,0,0,-1.280248037,0,3,1,2,1,1,-1.480802192,-0.998429487,0,1,0.8341809,High Risk
0428-IKYCP,1,0,1,0,-0.42462485,0,0,1,1,0,0,0.737997403,-0.190879951,0,0,0.4791972,Medium Risk
0506-YLVKJ,1,0,1,1,0.553230221,2,3,1,2,1,1,-1.482464214,-0.602596094,0,0,0.004577567,Low Risk
3133-PZNSR,1,0,1,1,1.612573214,2,1,1,1,2,2,1.09533217,2.077242747,0,0,0.006662875,Low Risk
2335-GSODA,1,0,0,1,-0.383880889,2,3,0,0,2,2,-0.820979391,-0.628934985,0,0,0.005717746,Low Risk
0970-ETWGE,1,0,0,0,-1.280248037,0,2,1,1,0,0,0.822760534,-0.967855196,1,1,0.95367116,High Risk
9576-SYUHJ,1,0,0,0,0.186534569,0,2,1,1,2,0,0.875945243,0.479107333,0,0,0.34990618,Medium Risk
7606-BPHHN,1,0,0,0,1.612573214,2,1,1,2,1,1,-1.495760391,-0.359369444,0,0,0.000341235,Low Risk
3108-PCCGG,1,1,1,0,1.612573214,2,1,0,0,2,0,0.653234273,1.595576332,0,0,0.006376189,Low Risk
6022-UGGSO,0,1,0,0,-0.017185237,0,2,1,1,0,0,0.319167817,-0.002801735,1,1,0.813593,High Risk
3506-OVLKD,1,0,0,0,0.105046646,1,0,0,2,1,1,-1.283021554,-0.586073623,0,0,0.22300036,Low Risk
7473-ZBDSN,0,0,1,1,-0.75057654,2,3,0,2,1,1,-1.529000834,-0.894618077,0,0,0.003187993,Low Risk
6766-HFKLA,0,0,1,0,0.960669833,2,0,0,1,0,2,1.276492586,1.526971682,0,0,0.1730131,Low Risk
9139-WQQDY,0,0,1,1,0.675462104,1,3,0,1,0,0,1.185081367,1.172896681,1,0,0.01720256,Low Risk
4846-WHAFZ,0,1,1,0,0.186534569,0,2,1,1,0,0,0.388972748,0.258028294,1,1,0.7971522,High Risk
8896-BQTTI,1,0,0,0,-1.280248037,0,3,1,2,1,1,-1.322910086,-0.996333847,0,0,0.40264672,Medium Risk
3727-RJMEO,1,0,1,0,-1.076528231,0,2,1,1,0,0,0.600049563,-0.804307003,1,1,0.93025273,High Risk
3889-VWBID,1,0,1,1,1.449597369,2,0,0,0,2,2,0.600049563,1.541133799,0,0,0.01411784,Low Risk
7688-AWMDX,1,0,1,0,1.571829252,2,0,0,0,2,2,-0.342317006,0.659530947,0,0,0.000603722,Low Risk
6752-APNJL,1,0,1,1,0.390254375,0,3,0,0,2,0,-0.342317006,0.007875002,0,0,0.035899702,Low Risk
1270-XKUCC,0,0,1,1,-0.09867316,2,3,0,2,1,1,-1.499084435,-0.742981945,0,0,0.003442852,Low Risk
1024-GUALD,0,0,1,0,-1.280248037,0,2,1,0,0,0,-1.329558174,-0.996422084,1,1,0.7275927,High Risk
6997-UVGOX,1,0,1,1,1.571829252,2,0,0,0,2,2,0.686474716,1.652952762,0,0,0.000906127,Low Risk
4317-VTEOA,1,0,0,0,-1.280248037,0,2,1,0,0,0,-0.466968669,-0.98497327,1,1,0.8487743,High Risk
2725-TTRIQ,0,0,1,1,1.612573214,2,0,1,0,2,2,0.644924162,1.633827286,0,0,0.003210058,Low Risk
0307-BCOPK,0,0,0,0,-0.669088618,1,3,0,2,1,1,-1.520690724,-0.863249648,0,0,0.002561777,Low Risk
6372-RFVNS,0,0,1,0,-1.280248037,0,2,0,1,0,0,0.465425768,-0.972597961,1,1,0.9660491,High Risk
4749-OJKQU,0,0,0,0,-1.158016153,0,2,1,1,0,0,0.360718371,-0.873970503,0,1,0.8320998,High Risk
5575-TPIZQ,1,0,0,0,0.553230221,0,1,1,1,2,0,0.809464357,0.865719909,0,0,0.43234107,Medium Risk
7706-DZNKK,1,0,0,0,-0.872808424,0,1,1,2,1,1,-1.474154103,-0.902669748,0,0,0.067890644,Low Risk
8092-NLTGF,1,0,0,0,1.612573214,2,0,0,2,1,1,-1.331220196,-0.223108696,0,0,0.000374716,Low Risk
6295-OSINB,1,0,1,0,1.612573214,2,2,1,1,2,0,1.490893446,2.469303988,0,0,0.005123192,Low Risk
1956-YIFGE,1,0,1,1,-0.42462485,1,3,1,1,0,0,1.171785189,-0.085171435,0,0,0.25588486,Low Risk
6463-MVYRY,0,1,0,0,1.001413795,2,0,0,0,2,2,0.1679238,0.758709889,0,0,0.01756657,Low Risk
4695-VADHF,1,0,1,1,-0.587600695,0,2,0,0,0,0,-0.244257698,-0.570212934,1,0,0.2094798,Low Risk
5630-IXDXV,0,0,0,0,0.593974182,0,2,1,1,0,0,1.381199983,1.131998603,0,1,0.9206601,High Risk
0813-TAXXS,1,0,0,0,0.919925872,2,0,1,0,0,0,0.432185324,0.900044294,0,0,0.004070406,Low Risk
4445-ZJNMU,1,0,0,0,-0.954296347,0,1,1,1,0,0,1.146854857,-0.60202255,0,1,0.94723433,High Risk
5356-KZCKT,1,0,0,0,1.042157756,2,1,1,2,1,1,-1.341192329,-0.339582186,0,0,0.014041461,Low Risk
4644-PIZRT,1,0,1,1,-0.628344657,1,0,1,0,2,0,0.184544021,-0.477210616,0,0,0.033166558,Low Risk
8181-YHCMF,0,0,1,1,1.449597369,2,1,0,0,0,2,-0.149522435,0.805475761,0,0,0.004084895,Low Risk
0742-MOABM,1,0,1,0,-1.158016153,0,3,0,0,0,2,-0.490236979,-0.928236562,1,0,0.3614773,Medium Risk
6362-QHAFM,1,0,1,0,0.390254375,1,2,1,1,0,2,1.446018847,1.01598836,0,1,0.8115918,High Risk
3161-ONRWK,1,0,1,1,1.123645678,1,0,1,0,2,2,0.034962026,0.725753186,0,0,0.004146848,Low Risk
0952-KMEEH,1,0,0,0,-0.791320502,0,3,0,1,2,0,1.108628347,-0.464592655,1,1,0.64479715,Medium Risk
6047-SUHPR,1,0,1,1,0.268022492,1,2,0,0,2,0,-0.166142656,0.026713707,0,0,0.08079123,Low Risk
4412-YLTKF,0,1,0,0,-0.220905044,0,2,1,1,0,0,0.440495435,-0.065207702,1,1,0.60865796,Medium Risk
1227-UDMZR,0,0,1,0,1.612573214,2,0,1,0,2,2,0.875945243,1.921194741,0,0,0.001507781,Low Risk
1223-UNPKS,1,0,1,1,-0.506112773,2,3,0,2,1,1,-1.48745028,-0.830888548,0,0,0.002358865,Low Risk
7762-ONLJY,0,0,1,1,-1.076528231,1,3,0,2,1,1,-1.499084435,-0.965693377,0,0,0.013908513,Low Risk
0430-IHCDJ,1,0,0,0,-0.709832579,0,2,1,0,0,0,-0.525139445,-0.676803825,0,1,0.73445445,High Risk
4967-WPNCF,1,0,0,0,1.612573214,2,0,1,0,2,2,-0.036504927,0.962450261,0,0,0.001428599,Low Risk
3021-VLNRJ,0,0,0,1,0.716206066,1,1,1,0,2,2,0.199502221,0.527152648,0,0,0.02434867,Low Risk
9103-TCIHJ,0,0,0,0,-0.709832579,0,3,1,0,2,0,-0.302428474,-0.610383052,1,0,0.28006727,Low Risk
0835-JKADZ,0,0,0,0,1.571829252,2,2,1,1,0,2,1.544078155,2.515143366,0,0,0.012596047,Low Risk
2346-DJQTB,0,0,0,0,0.105046646,0,2,0,0,0,0,-1.351164462,-0.648898718,0,1,0.83425075,High Risk
3301-LSLWQ,0,0,0,0,-0.139417121,0,2,1,0,2,0,0.043272137,-0.163746922,0,0,0.32238308,Medium Risk
5970-GHJAW,1,0,1,1,0.553230221,2,1,0,2,1,1,-1.490774325,-0.626883464,0,0,0.0028534,Low Risk
2834-JKOOW,0,0,0,0,-0.709832579,1,3,0,0,2,2,-0.628184819,-0.701422086,0,0,0.037447196,Low Risk
2188-SXWVT,0,0,0,0,0.064302685,1,3,0,0,2,0,-0.325696785,-0.175658984,0,0,0.020067155,Low Risk
8421-WZOOW,0,1,1,1,1.001413795,0,1,1,1,0,2,1.013893083,1.448925619,0,0,0.013558865,Low Risk
9968-FFVVH,1,0,0,0,1.245877562,1,0,0,0,2,2,0.133021334,0.806512551,0,0,0.003123769,Low Risk
1391-UBDAR,1,0,0,0,-0.872808424,0,2,0,1,0,0,0.269307152,-0.646273653,0,1,0.6629731,Medium Risk
0134-XWXCE,0,1,0,0,0.471742298,1,0,0,0,0,2,0.334126016,0.434459162,0,0,0.05110136,Low Risk
7296-PIXQY,0,0,1,1,-0.75057654,0,2,0,1,0,0,0.179557955,-0.545660851,0,1,0.69726604,Medium Risk
6047-YHPVI,1,0,0,0,-1.117272192,0,2,1,1,0,0,0.162937733,-0.867551226,1,1,0.80612165,High Risk
0895-LMRSF,1,0,0,0,-0.383880889,1,0,1,0,0,0,0.003383605,-0.341258699,0,0,0.06042033,Low Risk
0004-TLHLJ,1,0,0,0,-1.158016153,0,2,1,1,0,0,0.302547595,-0.883456034,1,1,0.75019884,High Risk
2907-ILJBN,0,0,1,1,-0.872808424,1,3,0,2,1,1,-1.469168036,-0.904169785,0,0,0.009164763,Low Risk
7306-YDSOI,1,0,1,1,1.49034133,2,0,1,0,2,0,-0.167804678,0.788225331,0,0,0.001876624,Low Risk
4475-NVTLU,1,0,1,1,0.512486259,2,2,0,2,1,1,-1.515704657,-0.608662421,0,0,0.004009531,Low Risk
9710-ZUSHQ,0,1,0,0,0.186534569,0,0,1,1,2,0,1.39449616,0.782423715,1,0,0.25063118,Low Risk
6946-LMSQS,1,1,1,0,-0.302392966,1,2,1,1,2,0,0.806140312,-0.046699888,1,0,0.057691824,Low Risk
8601-QACRS,0,0,0,0,-1.117272192,0,3,1,0,0,0,-0.471954735,-0.897088727,1,1,0.6777968,Medium Risk
4231-LZUYM,0,0,1,0,1.612573214,2,0,0,2,1,1,-1.301303797,-0.174842787,0,0,0.000435448,Low Risk
8380-PEFPE,1,0,0,1,-1.280248037,0,2,1,1,0,0,0.227756598,-0.975752452,1,1,0.89756036,High Risk
2867-UIMSS,1,0,0,0,-1.280248037,0,2,0,1,0,0,0.521934521,-0.971847943,1,1,0.9688977,High Risk
9814-AOUDH,1,0,0,0,0.838437949,2,1,0,2,1,1,-1.505732524,-0.543896101,0,0,0.035673734,Low Risk
4032-RMHCI,0,0,1,1,0.349510414,1,1,0,0,2,0,-0.977209475,-0.384230358,0,0,0.03275236,Low Risk
1452-KIOVK,1,0,0,1,-0.42462485,0,1,1,1,0,0,0.807802334,-0.147312689,0,0,0.29929224,Low Risk
4365-MSDYN,1,0,1,0,-0.995040308,0,0,1,2,1,1,-1.504070502,-0.936266174,0,0,0.06341914,Low Risk
0383-CLDDA,0,0,0,0,1.49034133,2,1,1,0,2,2,0.683150672,1.594495423,0,0,0.021299923,Low Risk
1293-HHSHJ,0,0,0,0,0.105046646,1,3,0,2,1,1,-1.452547815,-0.680443622,0,0,0.09045834,Low Risk
9822-OAOVB,0,0,0,0,-1.280248037,0,2,1,0,0,0,-0.310738585,-0.982899689,0,1,0.8628282,High Risk
7249-WBIYX,1,0,1,0,-0.913552385,0,2,1,1,0,0,0.691460783,-0.648303115,1,1,0.91674346,High Risk
6652-YFFJO,0,0,0,0,-0.872808424,0,2,1,0,0,0,0.003383605,-0.69142919,0,0,0.3882414,Medium Risk
9128-CPXKI,0,0,0,0,1.082901717,2,2,0,1,0,0,1.030513305,1.487750116,0,0,0.14388295,Low Risk
5127-BZENZ,0,0,1,1,0.960669833,1,0,0,0,2,0,0.013355738,0.542153022,0,0,0.016165586,Low Risk
5924-SNGKP,0,0,0,1,0.349510414,1,1,1,2,1,1,-1.480802192,-0.625736376,0,0,0.014582408,Low Risk
2919-HBCJO,0,0,0,0,-1.158016153,0,0,1,1,0,0,0.393958814,-0.860183395,1,1,0.945189,High Risk
5622-UEJFI,0,0,1,1,0.105046646,2,1,1,2,1,1,-1.309613908,-0.588323679,0,0,0.021228302,Low Risk
2000-MPKCA,0,0,0,0,1.042157756,1,2,1,1,2,0,1.427736603,1.786566386,0,0,0.47706252,Medium Risk
4830-FAXFM,1,0,0,1,-0.546856734,0,1,1,2,1,1,-1.352826485,-0.813593999,0,0,0.048475917,Low Risk
7629-WFGLW,0,1,1,0,0.960669833,1,2,0,1,2,2,1.025527238,1.406703979,0,0,0.103394784,Low Risk
6259-WJQLC,1,1,0,0,-0.017185237,0,1,1,1,0,0,0.541878787,0.148216734,0,1,0.5187636,Medium Risk
4854-CIDCF,0,1,0,0,-1.198760114,0,2,0,1,0,0,0.300885573,-0.920714315,0,1,0.71903974,High Risk
2074-GUHPQ,0,0,0,1,-0.628344657,0,1,1,1,0,2,0.927467931,-0.320500829,0,1,0.60514474,Medium Risk
7579-OOPEC,0,1,1,0,-1.239504076,0,1,0,0,0,0,-0.486912935,-0.956582856,1,0,0.2406259,Low Risk
8714-EUHJO,0,0,1,1,-0.057929199,0,2,1,1,0,0,0.875945243,0.314191459,1,0,0.3613965,Medium Risk
1707-HABPF,0,1,0,0,0.553230221,1,0,1,1,0,0,0.88093131,0.813130363,0,0,0.057056952,Low Risk
2860-RANUS,0,1,0,0,-0.506112773,0,1,1,1,0,0,0.698108871,-0.245212188,1,1,0.8352299,High Risk
5150-ITWWB,1,1,0,0,-1.198760114,0,2,1,1,0,0,0.998934884,-0.859234842,0,1,0.9637482,High Risk
